Customer_ID,Account_Category,Account_Number,Administrator_ID,Service_Provider_ID,Auditor_ID,Bank_Name
44905,Current,5.35645E+15,5150633322,5.40201E+15,24253,Gringotts 
33940,Savings,5.50605E+15,6954057699,5.36055E+15,10976,Gringotts 
56805,Current,5.19764E+15,6793473624,5.37469E+15,28954,Gringotts 
13746,Savings,5.48052E+15,3076160406,5.52272E+15,51254,Gringotts 
93653,Current,5.10153E+15,2927065725,5.39001E+15,41445,Gringotts 
77716,Savings,5.12909E+15,7456711857,5.45547E+15,25954,Gringotts 
60011,Current,5.55847E+15,6602972422,5.10059E+15,98971,Gringotts 
57351,Savings,5.31603E+15,1967701810,5.41242E+15,81224,Gringotts 
31360,Current,5.18561E+15,4754379096,5.57871E+15,52934,Gringotts 
67750,Savings,5.30618E+15,6591280989,5.53877E+15,54208,Gringotts 
14080,Current,5.13861E+15,3687598091,5.34102E+15,24253,Gringotts 
97390,Savings,5.52918E+15,8600365895,5.49042E+15,10976,Gringotts 
36135,Current,5.14233E+15,3156620572,5.33235E+15,28954,Gringotts 
96109,Savings,5.29565E+15,9240093888,5.36306E+15,51254,Gringotts 
66061,Current,5.51685E+15,0772427985,5.45972E+15,41445,Gringotts 
29068,Savings,5.34252E+15,8146816319,5.19605E+15,25954,Gringotts 
81225,Current,5.16679E+15,3765992793,5.48687E+15,98971,Gringotts 
4741,Savings,5.47116E+15,6501774679,5.35017E+15,81224,Gringotts 
96923,Current,5.51033E+15,5872994732,5.1777E+15,52934,Gringotts 
78576,Savings,5.50933E+15,2999339791,5.35853E+15,54208,Gringotts 
45580,Current,5.2983E+15,2500608078,5.10381E+15,24253,Gringotts 
17362,Savings,5.26903E+15,1175693089,5.38134E+15,10976,Gringotts 
91894,Current,5.10219E+15,4383631372,5.35489E+15,28954,Gringotts 
79510,Savings,5.358E+15,5965202007,5.50859E+15,51254,Gringotts 
37844,Current,5.35899E+15,3840737835,5.43871E+15,41445,Gringotts 
3690,Savings,5.2215E+15,5150633322,5.31827E+15,25954,Gringotts 
68750,Current,5.18903E+15,6954057699,5.39408E+15,98971,Gringotts 
75479,Savings,5.23525E+15,6793473624,5.5114E+15,81224,Gringotts 
85283,Current,5.19227E+15,3076160406,5.26641E+15,52934,Gringotts 
47198,Savings,5.43205E+15,2927065725,5.29521E+15,54208,Gringotts 
16853,Current,5.13392E+15,7456711857,5.165E+15,24253,Gringotts 
72864,Savings,5.40563E+15,6602972422,5.22928E+15,10976,Gringotts 
66277,Current,5.21621E+15,1967701810,5.32008E+15,28954,Gringotts 
74231,Savings,5.57094E+15,4754379096,5.1087E+15,51254,Gringotts 
